2018-04-13 02:52:49,283 [Worker-17] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: br.com.alura.listavip:listavip:0.0.1-SNAPSHOT @ C:\Users\GUSTAVO\eclipse-workspace\SpringBootV3\listavip\pom.xml.
2018-04-13 02:52:49,924 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for br.com.alura.enviaEmail:enviaEmail:jar:0.0.1-SNAPSHOT is missing, no dependency information available
2018-04-13 02:52:50,698 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-13 02:52:50,700 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-04-13 02:52:50,702 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-13 02:52:50,704 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-04-13 02:52:56,707 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for br.com.alura.enviaEmail:enviaEmail:jar:0.0.1-SNAPSHOT is missing, no dependency information available
2018-04-13 02:52:56,844 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-13 02:52:56,845 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-04-13 02:52:56,847 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-13 02:52:56,848 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-04-13 02:53:15,522 [Worker-5] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: br.com.alura.listavip:listavip:0.0.1-SNAPSHOT @ C:\Users\GUSTAVO\eclipse-workspace\SpringBootV3\listavip\pom.xml.
2018-04-13 02:53:16,062 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for br.com.alura.enviaEmail:enviaEmail:jar:0.0.1-SNAPSHOT is missing, no dependency information available
2018-04-13 02:53:16,530 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-13 02:53:16,533 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-04-13 02:53:16,535 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-13 02:53:16,536 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-04-13 02:53:46,416 [Worker-10] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: br.com.alura.listavip:listavip:0.0.1-SNAPSHOT @ C:\Users\GUSTAVO\eclipse-workspace\SpringBootV3\listavip\pom.xml.
2018-04-13 02:53:47,218 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-13 02:53:47,220 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-04-13 02:53:47,223 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-13 02:53:47,224 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-04-13 02:53:49,190 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-13 02:53:49,191 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-04-13 02:53:49,192 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-13 02:53:49,195 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-04-13 02:53:51,761 [Worker-16] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: br.com.alura.listavip:listavip:0.0.1-SNAPSHOT @ C:\Users\GUSTAVO\eclipse-workspace\SpringBootV3\listavip\pom.xml.
2018-04-13 02:53:52,664 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-13 02:53:52,666 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-04-13 02:53:52,669 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-13 02:53:52,670 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-04-13 02:54:07,953 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-13 02:54:07,955 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-04-13 02:54:07,956 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-13 02:54:07,958 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-04-13 02:54:27,340 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-13 02:54:27,344 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 25 resources
2018-04-13 02:54:27,449 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-13 02:54:27,451 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-04-13 02:54:48,468 [Worker-10] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: br.com.alura.listavip:listavip:0.0.1-SNAPSHOT @ C:\Users\GUSTAVO\eclipse-workspace\SpringBootV3\listavip\pom.xml.
2018-04-13 02:54:49,291 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-13 02:54:49,294 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-04-13 02:54:49,296 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-13 02:54:49,297 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-04-13 02:54:51,225 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-13 02:54:51,231 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 25 resources
2018-04-13 02:54:51,339 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-13 02:54:51,340 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-04-13 02:54:52,878 [Worker-2] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\Users\GUSTAVO\eclipse-workspace\SpringBootV3\listavip
2018-04-13 02:54:52,879 [Worker-2] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B clean
2018-04-13 02:54:55,048 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-13 02:54:55,054 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 25 resources
2018-04-13 02:54:55,143 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-13 02:54:55,144 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-04-13 02:55:01,498 [Worker-5] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\Users\GUSTAVO\eclipse-workspace\SpringBootV3\listavip
2018-04-13 02:55:01,498 [Worker-5] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B install
2018-04-13 02:55:05,308 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-13 02:55:05,310 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
